frame,t_s,found,knob_x,knob_y,knob_w,knob_h,area_full,fill
629,10.4667,1,1109.9,1445.4,147,147,18715,0.75
630,10.4833,1,1110.0,1445.0,148,146,18729,0.75
631,10.5000,1,1110.1,1445.1,148,147,18757,0.75
632,10.5167,1,1110.0,1445.0,148,147,18812,0.75
633,10.5333,1,1110.0,1445.0,148,147,18821,0.75
634,10.5500,1,1110.0,1445.0,148,147,18822,0.75
635,10.5667,1,1109.8,1444.9,149,147,18857,0.75
636,10.5833,1,1109.7,1444.8,149,147,18892,0.75
637,10.6000,1,1109.8,1444.9,149,147,18860,0.75
638,10.6167,1,1109.8,1444.9,149,147,18853,0.75
639,10.6333,1,1109.7,1444.8,149,147,18895,0.75
640,10.6500,1,1109.7,1444.8,149,147,18887,0.75
641,10.6667,1,1109.7,1444.6,149,148,18914,0.75
642,10.6833,1,1109.7,1444.6,149,149,18920,0.75
643,10.7000,1,1110.9,1445.1,149,147,18965,0.76
644,10.7167,1,1111.0,1445.1,150,146,18976,0.76
645,10.7333,1,1111.1,1445.0,150,146,18961,0.76
646,10.7500,1,1110.8,1445.0,149,147,18978,0.74
647,10.7667,1,1110.7,1445.0,149,148,18992,0.76
648,10.7833,1,1110.2,1444.4,150,148,19141,0.75
649,10.8000,1,1109.7,1444.7,150,149,19029,0.74
650,10.8167,1,1109.7,1444.5,150,149,19088,0.74
651,10.8333,1,1109.4,1444.2,152,149,19149,0.73
652,10.8500,1,1109.1,1443.7,151,150,19260,0.74
653,10.8667,1,1109.2,1443.5,151,150,19263,0.73
654,10.8833,1,1109.4,1442.5,152,150,19547,0.74
655,10.9000,1,1109.6,1442.3,152,151,19545,0.74
656,10.9167,1,1109.5,1441.5,152,150,19458,0.76
657,10.9333,1,1109.7,1441.5,152,150,19384,0.75
658,10.9500,1,1109.5,1441.4,153,150,19502,0.76
659,10.9667,1,1110.2,1441.0,151,150,19446,0.78
660,10.9833,1,1110.2,1440.7,151,150,19396,0.78
661,11.0000,1,1110.1,1440.5,151,150,19363,0.76
662,11.0167,1,1110.2,1440.4,152,150,19414,0.76
663,11.0333,1,1110.2,1440.4,152,150,19429,0.76
664,11.0500,1,1110.2,1439.1,151,149,19686,0.75
665,11.0667,1,1110.5,1439.0,151,149,19764,0.76
666,11.0833,1,1110.5,1438.9,151,149,19704,0.75
667,11.1000,1,1110.5,1438.9,152,149,19741,0.76
668,11.1167,1,1110.4,1439.0,151,149,19689,0.76
669,11.1333,1,1110.3,1438.9,151,148,19669,0.75
670,11.1500,1,1110.4,1438.7,151,149,19634,0.75
671,11.1667,1,1111.8,1439.1,148,148,19339,0.77
672,11.1833,1,1111.8,1439.1,148,148,19371,0.77
673,11.2000,1,1112.5,1439.5,149,148,19361,0.76
674,11.2167,1,1113.7,1440.2,148,148,19194,0.77
675,11.2333,1,1114.8,1440.5,149,148,19252,0.76
676,11.2500,1,1116.9,1440.7,150,149,19276,0.75
677,11.2667,1,1119.1,1441.5,148,149,19034,0.77
678,11.2833,1,1119.9,1441.6,149,149,18937,0.76
679,11.3000,1,1121.9,1441.9,149,149,18901,0.74
680,11.3167,1,1123.4,1441.7,149,149,18904,0.76
681,11.3333,1,1124.6,1441.9,148,149,18834,0.74
682,11.3500,1,1125.0,1441.5,149,150,18766,0.75
683,11.3667,1,1125.6,1441.8,150,149,18832,0.74
684,11.3833,0,,,,,,
685,11.4000,1,1127.7,1441.9,149,149,18529,0.75
686,11.4167,1,1127.8,1441.8,149,149,18528,0.75
687,11.4333,1,1127.9,1441.4,148,150,18563,0.72
688,11.4500,1,1128.4,1441.5,148,150,18497,0.74
689,11.4667,1,1128.7,1441.4,148,150,18534,0.72
690,11.4833,1,1128.6,1441.4,149,151,18567,0.72
691,11.5000,1,1128.7,1441.3,149,151,18583,0.72
692,11.5167,1,1128.7,1440.5,149,151,18741,0.73
693,11.5333,1,1127.4,1438.1,150,150,18916,0.75
694,11.5500,1,1126.4,1435.9,151,150,18930,0.74
695,11.5667,1,1126.3,1433.1,151,150,19080,0.76
696,11.5833,1,1124.7,1429.4,150,150,19051,0.76
697,11.6000,1,1123.1,1424.5,151,150,19180,0.73
698,11.6167,1,1119.7,1417.8,152,150,19321,0.74
699,11.6333,1,1115.2,1410.3,153,150,19394,0.73
700,11.6500,1,1109.3,1402.4,151,150,19353,0.73
701,11.6667,1,1099.6,1394.8,151,150,18996,0.71
702,11.6833,1,1090.8,1388.4,156,150,19065,0.69
703,11.7000,1,1081.0,1380.6,153,150,19247,0.74
704,11.7167,1,1070.3,1375.9,153,149,19070,0.73
705,11.7333,1,1058.0,1371.4,154,150,19045,0.73
706,11.7500,1,1047.7,1367.1,152,150,19263,0.76
707,11.7667,1,1036.0,1363.5,151,150,19170,0.73
708,11.7833,1,1028.5,1362.2,151,148,19148,0.77
709,11.8000,1,1020.8,1359.7,153,147,19357,0.73
710,11.8167,1,1015.4,1356.7,151,148,19148,0.76
711,11.8333,1,1012.0,1354.0,151,148,19120,0.76
712,11.8500,1,1010.5,1351.6,150,149,19446,0.76
713,11.8667,1,1004.7,1351.6,155,147,18982,0.73
714,11.8833,1,998.7,1350.4,155,146,19109,0.75
715,11.9000,1,994.6,1350.8,153,148,18981,0.75
716,11.9167,1,990.4,1351.2,153,149,18766,0.74
717,11.9333,1,987.5,1350.1,155,149,19154,0.72
718,11.9500,1,986.2,1350.1,154,148,19126,0.73
719,11.9667,1,985.2,1349.2,157,149,19377,0.72
720,11.9833,1,984.7,1349.4,157,149,19103,0.72
721,12.0000,1,984.7,1354.8,156,149,19021,0.73
722,12.0167,1,989.2,1363.7,153,149,18814,0.71
723,12.0333,1,1009.5,1378.7,151,149,19099,0.72
724,12.0500,1,1039.8,1398.6,151,148,19184,0.75
725,12.0667,1,1073.9,1419.6,153,149,19192,0.74
726,12.0833,1,1106.3,1441.1,159,151,19581,0.71
