frame,t,ground_dx_at_hole,ground_dy_at_hole,n_inliers,local_scale,sim_scale,zoom_resid_ln,cum_zoom_from_f785
537,9.0099,-12.879,8.281,131,1.00523,1.00488,0.00172,1.0
538,9.0267,-13.061,8.267,115,1.00395,1.005,0.00045,1.0
539,9.0435,-12.471,7.643,129,1.00357,1.00482,0.00041,1.0
540,9.0603,-12.074,7.338,129,1.00373,1.00498,0.00074,1.0
541,9.0772,-12.541,7.737,122,1.00396,1.00476,0.00075,1.0
542,9.094,-12.613,7.851,134,1.00384,1.00482,0.00057,1.0
543,9.1108,-12.718,7.921,122,1.00398,1.00468,0.00067,1.0
544,9.1276,-12.819,8.004,132,1.00453,1.00496,0.00117,1.0
545,9.1444,-12.738,8.005,152,1.00419,1.00506,0.00083,1.0
546,9.1612,-12.546,7.794,154,1.00473,1.00485,0.00149,1.0
547,9.178,-12.424,7.623,156,1.00401,1.00497,0.00086,1.0
548,9.1948,-12.309,7.62,142,1.00486,1.00469,0.00171,1.0
549,9.2116,-11.854,6.966,152,1.00332,1.0047,0.00053,1.0
550,9.2284,-12.415,7.581,159,1.00415,1.00491,0.00102,1.0
551,9.2453,-12.251,7.44,164,1.00394,1.0046,0.0009,1.0
552,9.2621,-12.438,7.476,173,1.00408,1.00466,0.00101,1.0
553,9.2789,-11.88,7.401,182,1.00417,1.00442,0.00115,1.0
554,9.2957,-11.757,7.532,204,1.00352,1.00472,0.00044,1.0
555,9.3125,-11.216,7.186,207,1.00318,1.0039,0.00029,1.0
556,9.3293,-11.47,7.513,211,1.0038,1.0051,0.00074,1.0
557,9.3461,-11.469,7.429,196,1.00407,1.00496,0.00105,1.0
558,9.3629,-11.292,7.3,206,1.00302,1.00486,8e-05,1.0
559,9.3797,-11.166,7.383,209,1.00283,1.00401,-0.00016,1.0
560,9.3965,-11.252,7.548,207,1.00307,1.00372,-1e-05,1.0
561,9.4133,-11.732,8.13,241,1.00325,1.00455,-0.00014,1.0
562,9.4302,-11.5,7.878,258,1.00345,1.00445,0.0002,1.0
563,9.447,-11.732,8.047,258,1.00302,1.00487,-0.00033,1.0
564,9.4638,-10.991,7.545,246,1.00291,1.00521,-0.00015,1.0
565,9.4806,-11.865,8.481,181,1.00383,1.00475,0.00025,1.0
566,9.4974,-10.9,7.271,167,1.00241,1.0052,-0.0005,1.0
567,9.5142,-12.18,9.041,167,1.00504,1.00512,0.00116,1.0
568,9.531,-11.793,8.288,164,1.0044,1.00557,0.00092,1.0
569,9.5478,-11.998,8.636,161,1.00405,1.00502,0.00039,1.0
570,9.5646,-11.276,7.977,158,1.00344,1.00514,0.00015,1.0
571,9.5814,-11.867,8.463,164,1.00368,1.00534,0.00012,1.0
572,9.5983,-11.671,8.315,156,1.00428,1.00538,0.00079,1.0
573,9.6151,-11.53,8.065,157,1.00355,1.00524,0.0002,1.0
574,9.6319,-11.492,8.129,162,1.00355,1.00549,0.00016,1.0
575,9.6487,-11.803,8.389,156,1.00364,1.00517,0.00011,1.0
576,9.6655,-11.476,7.53,156,1.0027,1.00537,-0.00037,1.0
577,9.6823,-11.845,8.789,174,1.00427,1.0052,0.00054,1.0
578,9.6991,-11.72,8.323,181,1.00417,1.00548,0.00068,1.0
579,9.7159,-11.206,8.008,154,1.00385,1.00543,0.00054,1.0
580,9.7327,-11.494,8.254,154,1.00394,1.00575,0.00049,1.0
581,9.7495,-11.285,8.056,168,1.00381,1.00553,0.00047,1.0
582,9.7663,-11.299,8.272,190,1.00385,1.00555,0.0004,1.0
583,9.7832,-11.246,7.894,176,1.00395,1.00574,0.00069,1.0
584,9.8,-11.146,7.921,170,1.00381,1.00557,0.00054,1.0
585,9.8168,-11.358,8.643,181,1.00415,1.00563,0.0005,1.0
586,9.8336,-11.192,8.607,181,1.00441,1.00559,0.00078,1.0
587,9.8504,-11.192,8.507,173,1.00468,1.00584,0.00111,1.0
588,9.8672,-10.859,8.188,193,1.00371,1.0056,0.00031,1.0
589,9.884,-11.294,8.373,198,1.00406,1.00528,0.00056,1.0
590,9.9008,-10.889,8.13,192,1.0042,1.00589,0.00083,1.0
591,9.9176,-11.346,8.92,188,1.00401,1.00585,0.00022,1.0
592,9.9344,-10.992,8.539,183,1.00357,1.00588,-2e-05,1.0
593,9.9513,-10.982,8.433,181,1.00385,1.00575,0.00033,1.0
594,9.9681,-11.004,8.509,191,1.00401,1.0058,0.00044,1.0
595,9.9849,-10.571,8.382,192,1.0042,1.00575,0.00071,1.0
596,10.0017,-10.307,8.394,186,1.00363,1.00535,0.00015,1.0
597,10.0185,-10.675,8.354,134,1.00398,1.00574,0.0005,1.0
598,10.0353,-10.577,8.329,126,1.00497,1.00565,0.0015,1.0
599,10.0521,-10.942,8.743,125,1.00454,1.00576,0.00085,1.0
600,10.0689,-11.119,9.317,119,1.00236,1.00563,-0.00162,1.0
601,10.0857,-11.525,9.844,122,1.00441,1.00627,0.00013,1.0
602,10.1025,-10.906,9.23,102,1.00391,1.00581,-3e-05,1.0
603,10.1193,-11.858,9.852,106,1.00595,1.00588,0.00165,1.0
604,10.1362,-12.067,10.431,102,1.00481,1.00577,0.00021,1.0
605,10.153,-11.126,8.842,109,1.00469,1.00586,0.00095,1.0
606,10.1698,-10.488,8.011,111,1.00535,1.00621,0.00205,1.0
607,10.1866,-9.513,6.967,93,1.00524,1.00643,0.00251,1.0
608,10.2034,-10.19,7.858,90,1.00754,1.00552,0.00431,1.0
609,10.2202,-10.225,7.939,98,1.00574,1.00337,0.00248,1.0
610,10.237,-10.303,7.855,105,1.00484,1.00658,0.00162,1.0
611,10.2538,-10.207,7.807,94,1.00738,1.00226,0.00418,1.0
612,10.2706,-10.122,8.019,116,1.00474,1.0032,0.00145,1.0
613,10.2874,-9.914,7.612,121,1.00537,1.00248,0.00229,1.0
614,10.3043,-5.348,4.984,107,0.99584,1.00322,-0.00574,1.0
615,10.3211,-5.692,5.436,104,0.9983,1.00299,-0.00353,1.0
616,10.3379,-4.961,4.863,115,0.99719,0.9938,-0.00432,1.0
617,10.3547,-10.306,7.498,97,1.00758,1.00252,0.00453,1.0
618,10.3715,-6.498,6.057,110,1.00063,0.9942,-0.00153,1.0
619,10.3883,-3.377,1.787,97,0.99784,0.99444,-0.00202,1.0
620,10.4051,-13.299,13.463,97,1.02477,0.99416,0.01828,1.0
621,10.4219,-10.044,7.742,116,1.00599,1.00248,0.00283,1.0
622,10.4387,-2.477,0.594,110,0.99855,1.00331,-0.00067,1.0
623,10.4555,-6.81,6.318,106,0.99654,1.00413,-0.00577,1.0
624,10.4723,-6.351,6.285,86,0.99792,1.00308,-0.00436,1.0
625,10.4892,-6.314,6.14,95,0.99763,1.00391,-0.00458,1.0
626,10.506,-10.288,8.455,107,1.00442,1.00303,0.0009,1.0
627,10.5228,-6.352,6.508,87,0.99824,1.00002,-0.00416,1.0
628,10.5396,-9.703,7.425,112,1.00422,0.9999,0.00125,1.0
629,10.5564,-8.392,8.447,96,1.00433,1.00315,0.00086,1.0
