frame,t_s,dxA,dyA,peakA,texA,dxC,dyC,peakC,texC,dxD,dyD,peakD,texD
517,8.6000,-8.02,7.67,154.9,9.93,-0.01,-0.01,150.6,3.65,1.88,-0.01,112.3,7.34
518,8.6167,-8.30,7.54,114.9,9.92,-0.01,0.01,157.5,4.35,0.15,0.50,53.2,7.39
519,8.6333,-8.50,7.56,105.6,9.89,-0.01,-0.02,133.3,4.90,-11.93,11.61,60.7,7.49
520,8.6500,0.00,-0.02,110.4,9.74,0.01,0.01,143.2,5.07,0.24,-0.01,80.1,7.60
521,8.6667,-0.01,-0.01,111.1,9.76,-0.00,-0.01,130.5,5.19,-0.00,-0.01,113.2,7.73
522,8.6833,-0.07,-0.01,107.3,9.79,-0.02,-0.01,149.7,5.29,-0.02,-0.01,135.5,7.87
523,8.7000,-0.08,-0.03,112.1,9.85,0.01,0.01,139.6,5.33,-12.27,10.20,116.3,7.98
524,8.7167,-10.00,6.84,124.9,9.85,-0.00,0.01,147.4,5.31,-12.31,9.91,146.9,8.03
525,8.7333,-10.00,6.38,150.6,9.94,0.02,-0.01,137.3,5.29,-13.04,10.45,100.3,8.11
526,8.7500,-10.03,6.22,173.7,9.98,0.01,-0.01,146.2,5.21,-12.31,9.68,123.2,8.21
527,8.7667,-10.41,6.35,97.5,10.17,-0.00,-0.03,138.5,4.75,-13.81,10.19,155.2,8.36
528,8.7833,-10.11,5.96,146.6,10.38,-0.01,-0.00,150.4,3.48,-13.56,10.11,127.8,8.49
529,8.8000,-10.57,6.19,100.5,10.49,0.00,-0.02,140.0,2.40,-13.82,10.07,165.9,8.64
530,8.8167,-10.47,6.11,114.0,10.55,-0.00,-0.01,158.7,1.54,-12.22,10.47,69.0,8.87
531,8.8333,-10.76,6.11,105.9,10.58,0.00,-0.00,156.1,1.33,-13.70,9.89,41.1,9.38
532,8.8500,-10.57,6.12,111.1,10.58,0.01,-0.02,147.6,1.49,-14.02,-0.65,40.2,9.38
533,8.8667,-10.99,5.94,82.5,10.57,0.00,-0.00,137.2,1.59,-16.02,7.96,84.4,9.71
534,8.8833,-10.64,5.94,109.8,10.57,-0.00,-0.01,170.4,1.61,-13.96,9.67,136.9,10.03
535,8.9000,-10.64,5.92,101.3,10.50,-0.01,-0.00,148.6,1.67,-14.73,8.84,71.1,10.25
536,8.9167,-10.66,5.92,94.1,10.47,0.01,0.01,146.8,1.72,-14.51,9.54,104.4,10.46
537,8.9333,-10.62,5.85,101.0,10.43,-0.01,-0.00,165.2,1.73,-14.27,9.82,138.4,10.62
538,8.9500,-10.63,5.90,97.2,10.38,-0.00,-0.01,161.0,1.75,-14.35,9.88,127.8,10.72
539,8.9667,-10.45,5.89,117.5,10.36,-0.00,-0.00,181.3,1.76,-14.39,9.89,120.9,10.82
540,8.9833,-10.36,5.89,126.3,10.32,-0.00,0.02,138.8,1.79,-14.60,9.93,109.6,10.86
541,9.0000,-10.45,5.81,114.9,10.53,0.00,-0.03,161.7,1.81,-14.62,9.96,96.5,10.92
542,9.0167,-10.29,5.89,133.9,10.70,0.01,-0.03,130.1,1.83,-14.63,9.89,88.4,11.02
543,9.0333,-10.31,5.87,140.6,10.86,-0.00,-0.01,186.2,1.90,-14.78,10.05,64.8,11.07
544,9.0500,-10.28,5.83,142.7,10.94,0.00,-0.01,148.8,1.91,-14.91,10.00,57.4,10.91
545,9.0667,-10.32,5.82,148.2,10.93,-0.01,-0.11,91.0,1.99,-2.43,-0.11,52.9,10.90
546,9.0833,-10.40,5.85,142.7,10.96,-0.00,-0.06,154.7,2.00,-2.62,-0.03,57.2,10.91
547,9.1000,-10.37,5.81,142.0,10.96,0.01,-0.01,163.7,2.07,-12.21,8.01,56.3,11.01
548,9.1167,-10.43,5.85,133.6,10.93,-0.01,-0.00,137.9,2.09,-12.33,8.11,60.2,10.78
549,9.1333,-10.67,5.86,128.5,10.82,-0.02,-0.04,131.9,2.14,-14.06,9.38,58.8,10.67
