frame,t,knob_x,knob_y,knob_method,base_x,base_y,ring_r,base_method,knob_dist,knob_angle_deg,hole_vx,hole_vy,hole_speed,travel_angle_deg
407,6.8247,855.0,1565.0,H,936.0,1722.0,160.1999969482422,H,176.7,-117.3,-6.62,-10.45,12.37,-122.4
408,6.8415,855.0,1565.0,H,932.0,1722.0,164.8000030517578,H,174.9,-116.1,-6.74,-10.3,12.31,-123.2
409,6.8583,855.0,1565.0,H,934.0,1720.0,162.0,H,174.0,-117.0,-6.67,-10.25,12.23,-123.1
410,6.8751,855.0,1565.0,H,934.0,1714.0,166.8000030517578,H,168.6,-117.9,-6.77,-10.55,12.53,-122.7
411,6.8919,855.0,1563.0,H,934.0,1720.0,168.8000030517578,H,175.8,-116.7,-6.77,-10.79,12.73,-122.1
412,6.9087,857.0,1565.0,H,932.0,1718.0,170.1999969482422,H,170.4,-116.1,-6.81,-10.77,12.75,-122.3
413,6.9255,853.0,1563.0,H,932.0,1718.0,170.1999969482422,H,174.0,-117.0,-6.76,-10.72,12.67,-122.2
414,6.9423,857.0,1563.0,H,936.0,1714.0,164.0,H,170.4,-117.6,-6.75,-10.34,12.35,-123.1
415,6.9592,857.0,1561.0,H,936.0,1716.0,164.60000610351562,H,174.0,-117.0,-6.8,-10.57,12.57,-122.8
416,6.976,859.0,1561.0,H,934.0,1716.0,161.39999389648438,H,172.2,-115.8,-6.84,-10.25,12.32,-123.7
417,6.9928,865.0,1555.0,H,934.0,1716.0,169.0,H,175.2,-113.2,-6.75,-10.29,12.31,-123.3
418,7.0096,873.0,1553.0,H,932.0,1714.0,169.39999389648438,H,171.5,-110.1,-6.56,-10.59,12.46,-121.8
419,7.0264,879.0,1549.0,H,932.0,1714.0,161.60000610351562,H,173.3,-107.8,-6.31,-10.16,11.96,-121.9
420,7.0432,885.0,1545.0,H,932.0,1716.0,161.60000610351562,H,177.3,-105.4,-6.43,-10.85,12.61,-120.7
421,7.06,891.0,1543.0,H,930.0,1712.0,168.60000610351562,H,173.4,-103.0,-5.53,-9.86,11.31,-119.3
422,7.0768,895.0,1541.0,H,930.0,1712.0,168.60000610351562,H,174.5,-101.6,-5.72,-10.64,12.08,-118.2
423,7.0936,897.0,1539.0,H,930.0,1710.0,160.60000610351562,H,174.2,-100.9,-5.19,-10.88,12.05,-115.5
424,7.1104,899.0,1537.0,H,930.0,1708.0,161.60000610351562,H,173.8,-100.3,-4.74,-11.17,12.14,-113.0
425,7.1272,903.0,1535.0,H,926.0,1708.0,164.1999969482422,H,174.5,-97.6,-4.52,-11.09,11.98,-112.2
426,7.1441,905.0,1533.0,H,930.0,1706.0,169.0,H,174.8,-98.2,-4.12,-11.26,11.99,-110.1
427,7.1609,905.0,1531.0,H,930.0,1706.0,159.8000030517578,H,176.8,-98.1,-3.87,-11.26,11.91,-109.0
428,7.1777,903.0,1529.0,H,930.0,1704.0,160.1999969482422,H,177.1,-98.8,-3.41,-10.85,11.37,-107.5
429,7.1945,903.0,1529.0,H,932.0,1702.0,164.39999389648438,H,175.4,-99.5,-3.37,-11.36,11.85,-106.5
430,7.2113,903.0,1529.0,H,924.0,1702.0,164.39999389648438,H,174.3,-96.9,-3.2,-11.52,11.95,-105.5
431,7.2281,903.0,1527.0,H,924.0,1702.0,164.8000030517578,H,176.3,-96.8,-2.88,-11.36,11.72,-104.2
432,7.2449,903.0,1527.0,H,930.0,1700.0,166.8000030517578,H,175.1,-98.9,-2.65,-11.3,11.6,-103.2
433,7.2617,905.0,1527.0,H,928.0,1698.0,168.60000610351562,H,172.5,-97.7,-2.67,-10.95,11.27,-103.7
434,7.2785,905.0,1523.0,H,928.0,1696.0,168.60000610351562,H,174.5,-97.6,-2.44,-11.27,11.53,-102.2
435,7.2953,905.0,1523.0,H,928.0,1702.0,164.60000610351562,H,180.5,-97.3,-2.28,-11.29,11.52,-101.4
436,7.3122,907.0,1523.0,H,928.0,1696.0,160.8000030517578,H,174.3,-96.9,-1.88,-10.77,10.93,-99.9
437,7.329,907.0,1523.0,H,924.0,1698.0,164.1999969482422,H,175.8,-95.5,-2.43,-11.35,11.61,-102.1
438,7.3458,907.0,1521.0,H,928.0,1694.0,161.39999389648438,H,174.3,-96.9,-2.13,-11.66,11.85,-100.4
439,7.3626,909.0,1521.0,H,926.0,1694.0,168.60000610351562,H,173.8,-95.6,-2.1,-11.33,11.52,-100.5
