frame,t_s,base_x,base_y,r,score,knob_x,knob_y,dist
531,8.8333,962.9,1615.5,165,48.95,1097.9,1503.5,175.4
532,8.8500,962.8,1615.5,165,46.30,1097.8,1503.5,175.4
533,8.8667,963.0,1615.1,165,44.72,1097.0,1504.1,174.0
534,8.8833,963.6,1615.3,165,44.47,1097.6,1504.3,174.0
535,8.9000,963.3,1615.4,165,44.32,1097.3,1504.4,174.0
536,8.9167,964.0,1615.4,165,45.07,1097.0,1504.4,173.2
537,8.9333,964.1,1615.5,165,46.18,1097.1,1504.5,173.2
538,8.9500,964.2,1615.7,165,46.88,1097.2,1504.7,173.2
539,8.9667,963.3,1615.7,165,48.03,1097.3,1504.7,174.0
540,8.9833,964.2,1615.6,165,48.77,1097.2,1504.6,173.2
541,9.0000,963.4,1615.7,165,49.52,1097.4,1504.7,174.0
542,9.0167,963.5,1615.8,165,50.45,1097.5,1504.8,174.0
543,9.0333,964.2,1615.4,165,51.21,1097.2,1504.4,173.2
544,9.0500,963.3,1615.6,165,51.06,1097.3,1504.6,174.0
545,9.0667,963.5,1614.6,165,49.23,1097.5,1504.6,173.4
546,9.0833,963.5,1615.6,165,46.45,1097.5,1504.6,174.0
547,9.1000,963.5,1615.6,165,44.86,1097.5,1504.6,174.0
548,9.1167,963.5,1614.6,165,45.53,1097.5,1504.6,173.4
549,9.1333,963.7,1615.4,165,46.37,1097.7,1503.4,174.6
550,9.1500,963.3,1615.7,165,47.22,1097.3,1501.7,175.9
551,9.1667,963.8,1614.2,165,46.89,1095.8,1500.2,174.4
552,9.1833,963.9,1613.6,165,46.35,1094.9,1497.6,175.0
553,9.2000,965.9,1613.5,165,46.15,1094.9,1495.5,174.8
554,9.2167,966.0,1612.6,165,46.76,1095.0,1493.6,175.5
555,9.2333,967.2,1611.8,165,47.64,1095.2,1491.8,175.5
556,9.2500,967.5,1611.9,165,47.86,1095.5,1490.9,176.1
557,9.2667,968.2,1611.0,165,47.89,1096.2,1490.0,176.1
558,9.2833,969.0,1609.9,165,47.53,1096.0,1488.9,175.4
559,9.3000,969.3,1609.4,165,48.12,1096.3,1488.4,175.4
560,9.3167,969.5,1609.2,165,48.12,1096.5,1488.2,175.4
561,9.3333,969.9,1609.8,165,47.83,1096.9,1487.8,176.1
562,9.3500,970.0,1609.7,165,47.71,1097.0,1487.7,176.1
563,9.3667,969.8,1608.8,165,47.51,1096.8,1486.8,176.1
564,9.3833,970.1,1607.8,165,47.71,1097.1,1486.8,175.4
565,9.4000,970.9,1607.9,165,47.46,1096.9,1486.9,174.7
566,9.4167,970.1,1607.8,165,47.85,1097.1,1486.8,175.4
567,9.4333,970.5,1607.7,165,47.76,1097.5,1486.7,175.4
568,9.4500,970.4,1608.4,165,48.18,1097.4,1486.4,176.1
569,9.4667,970.7,1607.6,165,47.97,1096.7,1485.6,175.4
570,9.4833,971.9,1608.4,165,47.68,1096.9,1485.4,175.4
571,9.5000,971.2,1607.4,165,47.97,1097.2,1485.4,175.4
572,9.5167,970.9,1607.6,165,48.35,1097.9,1485.6,176.1
573,9.5333,971.6,1607.0,165,48.25,1098.6,1486.0,175.4
574,9.5500,974.1,1606.8,165,47.89,1099.1,1484.8,174.7
575,9.5667,973.8,1605.4,165,48.02,1100.8,1483.4,176.1
576,9.5833,975.4,1604.5,165,48.18,1102.4,1482.5,176.1
577,9.6000,976.6,1602.9,165,47.91,1103.6,1480.9,176.1
578,9.6167,978.4,1601.7,165,48.30,1104.4,1479.7,175.4
579,9.6333,979.0,1601.7,165,48.15,1105.0,1477.7,176.8
580,9.6500,980.1,1600.4,165,48.36,1106.1,1476.4,176.8
581,9.6667,980.1,1600.1,165,48.06,1106.1,1475.1,177.5
