frame,blob_id,cx,cy,w,h,area
843,1,1242.2,1014.8,100,124,3024
843,2,1082.7,1025.3,76,80,2688
843,3,1070.0,1154.6,96,124,3408
843,4,885.1,1177.5,80,88,3088
843,5,877.2,1307.4,96,128,3408
844,0,1255.8,892.8,72,80,2352
844,1,1234.7,1022.7,100,124,2992
844,2,1073.1,1032.7,76,84,2752
844,3,1061.7,1162.3,96,124,3392
844,4,874.6,1189.2,80,84,3104
844,5,870.0,1319.7,96,128,3712
845,0,1247.6,900.2,72,76,2320
845,1,1226.4,1029.4,100,124,3184
845,2,1064.7,1040.7,76,84,2768
845,3,1053.1,1169.6,96,124,3472
845,4,864.7,1205.3,80,84,3088
845,5,861.9,1336.7,108,128,4048
846,0,1239.7,906.3,72,80,2400
846,1,1218.9,1036.3,100,128,3104
846,2,1055.5,1048.3,76,84,2816
846,3,1044.0,1178.1,100,128,3472
846,4,854.4,1214.5,76,88,3168
846,5,853.3,1343.7,104,128,4288
847,0,1231.4,913.6,72,80,2368
847,1,1211.8,1043.0,100,124,3104
847,2,1046.3,1056.4,76,84,2864
847,3,1035.6,1186.4,100,124,3392
847,4,843.5,1234.9,80,88,3184
847,5,842.5,1362.9,108,128,4256
848,0,1222.7,921.0,76,76,2384
848,1,1203.5,1050.6,100,124,3104
848,2,1037.5,1064.7,76,84,2832
848,3,1027.1,1193.6,96,124,3504
848,4,832.4,1258.3,80,84,3136
848,5,832.1,1385.1,104,124,4192
849,0,1213.8,928.8,76,80,2512
849,1,1195.2,1058.6,96,124,3136
849,2,1028.0,1072.4,80,84,2832
849,3,1020.1,1201.1,88,124,3344
849,4,820.4,1355.9,104,212,7216
850,0,1206.1,936.6,76,80,2496
850,1,1187.6,1065.2,96,124,3248
850,2,1018.6,1080.2,76,84,2928
850,3,1013.8,1207.4,84,128,3168
850,4,809.2,1386.5,104,208,7184
851,0,1197.4,942.5,76,80,2512
851,1,1179.4,1072.8,100,128,3328
851,2,1009.8,1088.6,76,84,2912
851,3,1003.5,1216.5,100,128,3344
851,4,797.6,1350.6,80,84,3152
851,5,798.1,1470.3,108,120,4000
852,0,1189.1,949.9,76,80,2496
852,1,1171.7,1079.6,100,124,3168
852,2,1000.6,1096.3,80,84,2880
852,3,991.9,1225.8,104,124,3568
