frame,t_s,dxA,dyA,peakA,dxB,dyB,peakB
562,9.3500,-10.17,6.17,151.9,-13.96,10.29,87.2
563,9.3667,-10.31,6.28,133.5,-15.95,12.02,78.7
564,9.3833,-9.96,6.23,146.9,-15.69,11.97,93.3
565,9.4000,-10.08,6.25,131.8,-15.78,12.35,68.6
566,9.4167,-10.10,6.23,128.2,-15.85,12.03,130.7
567,9.4333,-9.97,6.35,123.0,-15.61,11.99,103.5
568,9.4500,-9.94,6.27,126.1,-15.77,12.07,82.9
569,9.4667,-10.09,6.37,127.4,-15.64,12.00,96.3
570,9.4833,-9.66,6.13,124.0,-15.74,12.14,88.2
571,9.5000,-10.03,6.29,138.1,-15.53,11.94,95.8
572,9.5167,-9.89,6.25,135.1,-13.80,10.22,87.0
573,9.5333,-9.81,6.27,126.9,-13.82,10.16,107.2
574,9.5500,-9.99,6.23,144.2,-13.80,10.36,112.9
575,9.5667,-9.93,6.37,133.3,-13.87,10.31,111.4
576,9.5833,-9.85,6.21,143.6,-13.91,10.36,112.8
577,9.6000,-9.97,6.37,139.6,-13.91,10.40,133.9
578,9.6167,-10.00,6.33,142.6,-14.00,10.46,123.7
579,9.6333,-9.87,6.55,132.7,-13.93,10.47,123.7
580,9.6500,-10.02,6.33,160.6,-14.10,10.76,111.4
581,9.6667,-9.96,6.43,154.7,-14.07,10.73,117.5
582,9.6833,-9.98,6.46,156.9,-14.19,10.85,98.6
583,9.7000,-9.98,6.51,152.3,-14.35,11.05,96.9
584,9.7167,-9.99,6.35,161.0,-14.33,11.32,111.5
585,9.7333,-9.98,6.57,143.5,-14.30,11.56,128.6
586,9.7500,-9.93,6.55,143.3,-14.25,11.65,126.3
587,9.7667,-9.97,6.62,138.9,-14.42,11.82,125.5
588,9.7833,-9.93,6.70,131.3,-14.31,11.87,138.4
589,9.8000,-10.02,6.53,137.4,-14.28,12.00,145.7
590,9.8167,-9.84,6.93,116.8,-14.45,12.16,140.6
591,9.8333,-9.86,6.71,121.0,-14.40,12.19,136.8
592,9.8500,-10.07,7.45,125.2,-14.75,12.36,120.1
593,9.8667,-10.05,7.45,123.8,-14.96,12.49,107.7
594,9.8833,-10.09,7.19,105.2,-15.50,12.43,115.3
595,9.9000,-10.00,7.59,124.5,-14.22,12.81,116.2
596,9.9167,-9.97,7.78,123.9,-14.20,13.17,104.7
597,9.9333,-10.09,7.72,119.1,-15.18,13.31,96.7
598,9.9500,-9.87,7.59,106.6,-14.42,13.62,93.5
599,9.9667,-9.88,7.69,89.5,-15.54,13.87,132.8
600,9.9833,-9.83,7.76,88.6,-14.33,13.78,113.3
601,10.0000,0.07,-0.01,98.3,-15.53,14.00,126.3
602,10.0167,0.00,0.02,99.0,-14.53,14.08,83.8
603,10.0333,0.05,0.01,94.2,-15.06,13.91,70.6
604,10.0500,0.01,0.03,102.8,-15.37,14.06,80.2
605,10.0667,0.06,0.07,101.6,-15.16,13.96,75.0
606,10.0833,0.05,0.05,93.3,-15.44,14.22,73.1
607,10.1000,0.03,0.01,95.4,0.64,0.07,82.4
608,10.1167,-0.00,0.03,102.0,0.60,0.05,95.9
609,10.1333,-0.00,0.05,115.5,0.55,0.12,101.7
610,10.1500,0.02,0.04,110.4,0.69,0.05,95.9
611,10.1667,0.02,0.04,113.8,0.74,0.07,100.1
612,10.1833,-0.02,0.04,108.8,1.18,-0.01,97.0
613,10.2000,0.03,0.03,115.7,0.79,0.13,101.7
614,10.2167,-0.01,0.06,105.6,0.69,0.10,118.4
615,10.2333,0.02,0.02,107.6,0.62,0.16,103.0
616,10.2500,-0.02,0.02,108.9,0.63,0.13,118.8
617,10.2667,0.02,0.02,88.6,0.58,0.45,95.2
618,10.2833,-9.50,7.53,87.0,0.26,0.27,124.3
619,10.3000,0.01,0.02,84.6,0.24,0.47,117.7
620,10.3167,-9.77,7.65,108.4,0.25,0.87,101.6
621,10.3333,-9.61,7.76,110.1,0.14,0.33,136.1
622,10.3500,-9.19,7.19,91.2,0.19,0.54,117.9
623,10.3667,-9.92,7.88,170.6,0.20,0.82,96.7
624,10.3833,-9.62,7.41,120.8,0.18,0.50,107.6
625,10.4000,-9.90,7.83,168.9,0.01,0.61,114.4
626,10.4167,-10.00,7.90,213.3,0.47,0.42,79.3
627,10.4333,-9.85,7.77,179.6,1.18,0.08,75.8
628,10.4500,-9.95,7.90,230.0,1.62,0.02,98.2
629,10.4667,-9.99,7.94,248.0,1.40,0.01,89.2
630,10.4833,-10.02,7.99,261.4,1.84,0.06,108.6
631,10.5000,-10.03,7.93,266.9,1.49,0.06,77.9
632,10.5167,-10.04,7.99,283.6,1.79,0.01,79.8
633,10.5333,-10.09,8.00,278.9,1.45,0.02,61.7
